;Title, http://www.gcdataconcepts.com, X6-2mini
;Version, 915, Build num, 0x800, Build date, 20100407 18:07:03,  SN:CCDC22011000155
;Start_time, 1900-01-02, 15:40:04.005
;Switch, Unknown
;Temperature, 70.50, deg C
;Gain, high
;SampleRate, 40,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
1.593,1221,260,-191
1.617,1108,120,-218
1.643,1106,137,-261
1.667,1163,224,-307
1.692,1168,265,-350
1.718,1101,231,-386
1.742,1029,185,-390
1.768,1001,182,-355
1.792,962,193,-299
1.817,926,217,-255
1.842,922,250,-250
1.867,955,262,-284
1.893,980,257,-320
1.917,968,264,-307
1.942,1016,230,-295
1.967,1084,250,-256
1.992,1116,281,-225
2.018,1168,283,-147
2.042,1392,220,-248
2.068,1158,69,-320
2.092,1193,-48,-497
2.118,1123,-263,-621
2.143,1113,-504,-251
2.167,1031,-447,-69
2.193,832,-435,-138
2.217,727,-483,-399
2.243,571,-560,-121
2.268,534,-601,-77
2.292,637,-586,-197
2.318,597,-528,-145
2.342,719,-601,-282
2.367,851,-569,-293
2.393,669,-444,-272
2.417,684,-548,-328
2.443,726,-607,-753
2.467,988,-615,-563
2.492,546,-467,-378
2.518,601,-436,-668
2.542,557,-379,-1181
2.568,238,-286,-1696
2.592,654,-474,-305
2.617,1084,-371,-769
2.642,884,-399,-1151
2.667,364,351,-457
2.692,741,488,-593
2.717,774,656,-576
2.742,843,527,-537
2.767,973,652,-444
2.792,963,749,-209
2.817,877,739,-41
2.842,783,540,-13
2.867,767,355,10
2.892,726,272,64
2.917,677,254,92
2.942,574,376,102
2.967,741,528,142
2.992,988,537,9
3.017,1073,514,-9
3.042,1137,562,35
3.068,1250,561,-116
3.092,1300,596,-178
3.118,1393,687,-245
3.142,1384,558,-484
3.167,1448,477,-619
3.193,1684,633,-699
3.217,1414,369,-642
3.243,913,-89,-478
3.267,957,-101,-450
3.292,970,160,-520
3.317,898,426,-490
3.342,925,613,-430
3.367,1045,668,-390
3.392,1064,656,-313
3.417,985,643,-278
3.442,849,680,-271
3.467,850,669,-249
3.492,924,610,-232
3.517,888,575,-165
3.542,815,527,-40
3.567,735,477,43
3.592,719,514,68
3.617,782,602,63
3.642,817,642,33
3.667,912,668,85
3.691,1034,752,203
3.717,1069,722,308
3.741,991,537,344
3.767,989,376,264
3.792,1149,383,51
3.816,1219,413,-185
3.842,1106,367,-253
3.866,974,318,-123
3.892,847,240,49
3.917,738,229,68
3.941,700,236,-9
3.967,705,254,-59
3.991,750,254,-49
4.017,802,279,-30
4.042,826,286,14
4.067,881,276,98
4.092,1004,285,159
4.117,1139,288,162
4.142,1254,315,147
4.166,1429,439,181
4.192,1474,439,174
4.217,1337,247,145
4.242,1233,151,173
4.267,1254,262,216
4.291,1307,414,242
4.317,1296,502,280
4.342,1229,495,355
4.366,1091,433,388
4.392,967,420,335
4.416,890,462,239
4.442,883,528,158
4.467,807,522,131
4.491,727,503,138
4.517,679,508,158
4.541,633,521,183
4.567,604,545,188
4.592,597,566,179
4.616,628,551,264
4.642,721,522,395
4.666,816,454,492
4.691,890,343,527
4.716,971,313,458
4.741,1072,418,260
4.767,1185,493,70
4.791,1276,409,1
4.816,1310,364,-80
4.841,1603,369,-829
4.866,1440,180,-1584
4.892,1037,235,-1200
4.916,621,220,-524
4.941,685,412,-218
4.966,762,629,-105
4.991,694,589,-35
5.017,656,492,-9
5.041,726,508,-15
5.067,829,485,-19
5.091,897,537,-180
5.117,928,607,-370
5.142,915,664,-389
5.166,811,709,-224
5.192,817,752,-70
5.216,871,800,-35
5.242,907,731,-47
5.266,955,537,-97
5.291,980,393,-62
5.317,969,401,13
5.341,937,455,-51
5.366,884,517,-178
5.391,807,595,-159
5.416,777,657,-59
5.442,799,674,-10
5.466,839,633,-45
5.491,874,568,-109
5.516,892,537,-124
5.541,883,543,-71
5.566,878,550,-18
5.591,883,541,-29
5.616,881,531,-78
5.641,867,544,-100
5.666,853,571,-82
5.691,849,589,-60
5.716,857,588,-59
5.741,868,574,-67
5.766,875,561,-75
5.791,874,551,-73
5.815,871,545,-65
5.841,874,545,-59
5.866,877,550,-63
5.891,875,551,-72
5.916,873,546,-74
5.940,875,548,-74
5.966,876,549,-74
5.990,878,550,-73
6.016,877,551,-76
6.041,875,545,-77
6.066,873,543,-74
6.091,874,544,-71
6.116,879,542,-72
6.141,881,545,-76
6.166,879,547,-78
6.191,874,546,-82
6.216,872,544,-84
6.241,874,541,-81
6.266,877,541,-78
6.291,880,546,-78
6.316,877,547,-80
6.341,875,546,-79
6.366,876,549,-74
6.391,878,553,-71
6.416,877,547,-76
6.441,875,541,-86
6.466,875,537,-86
6.490,878,538,-79
6.516,879,542,-79
6.541,880,541,-81
6.566,881,541,-80
6.591,881,539,-79
6.615,877,541,-79
6.641,872,546,-77
6.665,875,543,-78
6.691,882,539,-83
6.716,881,538,-87
6.740,878,538,-81
6.766,875,539,-77
6.790,875,539,-82
6.815,879,538,-85
6.841,881,539,-85
6.865,882,541,-86
6.891,882,542,-85
6.915,881,542,-83
6.940,880,537,-84
6.966,878,537,-85
6.990,876,539,-87
7.016,876,540,-89
7.040,878,539,-88
7.066,881,540,-88
7.091,882,537,-92
7.116,881,532,-98
7.141,883,533,-97
7.165,885,538,-90
7.191,885,539,-89
7.216,879,540,-89
7.241,875,540,-87
7.266,877,539,-87
7.290,878,538,-88
7.316,879,536,-87
7.340,878,535,-88
7.366,875,537,-89
7.391,876,537,-89
7.415,882,538,-89
7.441,885,537,-89
7.465,883,535,-90
7.490,882,535,-92
7.516,882,533,-91
7.540,886,533,-91
7.566,887,532,-94
7.590,879,531,-95
7.615,868,530,-98
7.641,856,521,-110
7.665,820,483,-138
7.691,790,442,-169
7.715,766,397,-169
7.740,749,324,-195
7.765,754,213,-236
7.790,800,91,-340
7.815,888,6,-495
7.840,971,-61,-523
7.865,1048,-77,-514
7.890,1123,-99,-513
7.915,1147,-120,-553
7.940,1159,-94,-583
7.965,1188,-25,-528
7.990,1213,46,-453
8.015,1185,85,-379
8.040,1135,125,-355
8.066,1156,162,-424
8.090,1160,166,-487
8.116,1125,225,-399
8.140,1103,388,-529
8.165,1045,304,-571
8.190,1143,200,-483
8.215,958,344,-750
8.241,769,446,-790
8.265,838,346,-594
8.290,808,302,-750
8.315,815,238,-740
8.340,876,194,-590
8.366,878,150,-513
8.390,750,153,-766
8.415,677,64,-593
8.440,808,42,-540
8.465,970,25,-532
8.490,1031,-24,-625
8.515,938,-73,-634
8.540,971,-103,-672
8.565,927,-73,-607
8.590,873,-2,-554
8.614,865,-40,-556
8.640,883,-34,-567
8.665,867,-56,-561
8.690,868,-62,-562
8.715,887,-55,-571
8.739,878,-49,-552
8.765,879,-51,-548
8.790,894,-49,-558
8.814,902,-49,-556
8.840,911,-41,-546
8.864,914,-51,-549
8.890,912,-54,-547
8.914,911,-42,-536
8.939,903,-43,-536
8.965,901,-47,-539
8.989,904,-43,-539
9.015,902,-40,-535
9.040,902,-44,-544
9.065,899,-44,-543
9.090,903,-43,-544
9.115,904,-46,-550
9.140,897,-45,-545
9.164,899,-42,-543
9.190,900,-43,-545
9.215,894,-46,-543
9.240,900,-44,-550
9.265,906,-43,-559
9.289,902,-37,-556
9.315,895,-50,-549
9.339,891,-46,-548
9.365,890,-45,-547
9.390,892,-48,-551
9.414,898,-43,-556
9.440,899,-44,-554
9.464,897,-47,-552
9.489,898,-44,-553
9.515,898,-42,-553
9.539,896,-47,-551
9.565,897,-44,-553
9.589,899,-41,-553
9.614,893,-44,-548
9.640,899,-42,-557
9.664,904,-40,-562
9.690,899,-40,-555
9.714,894,-42,-553
9.739,892,-41,-555
9.764,892,-39,-553
9.789,891,-37,-552
9.814,888,-37,-551
9.839,891,-38,-555
9.864,891,-38,-554
9.889,896,-37,-557
9.914,902,-35,-562
9.939,896,-34,-555
9.964,891,-33,-548
9.989,893,-34,-553
10.014,893,-37,-556
10.040,893,-38,-559
10.065,894,-34,-548
10.089,894,-34,-547
10.115,891,-39,-555
10.139,897,-38,-555
10.164,902,-32,-548
10.189,896,-36,-551
10.214,893,-41,-555
10.240,904,-33,-546
10.264,904,-32,-548
10.289,896,-41,-553
10.314,901,-39,-548
10.339,903,-32,-544
10.365,898,-36,-545
10.389,896,-41,-543
